iter	Logloss
0	0.6779758497
1	0.6672913908
2	0.6613333448
3	0.6565671685
4	0.6526516206
5	0.6492150937
6	0.6465928698
7	0.6443771614
8	0.6426312634
9	0.6411699727
10	0.6382851732
11	0.6373029303
12	0.6364014096
13	0.6355906716
14	0.63490732
15	0.6342412871
16	0.6334776633
17	0.6321773032
18	0.6313583559
19	0.6307512831
20	0.6301596648
21	0.6297137454
22	0.6291587334
23	0.6286005865
24	0.6280550519
25	0.6276946729
26	0.6272026595
27	0.6269331042
28	0.626608121
29	0.6263005251
30	0.6259115348
31	0.6253810006
32	0.6249189649
33	0.6241332875
34	0.6239034729
35	0.6236156528
36	0.6232825603
37	0.6229936517
38	0.6224739029
39	0.6218931605
40	0.6217033715
41	0.6213647017
42	0.6209860468
43	0.6206160257
44	0.6200801257
45	0.6196547873
46	0.619368352
47	0.6190503383
48	0.6183701974
49	0.6180737159
